Country,Region,length_flaccid,length_erect,circumf_flaccid,circumf_erect,volume_erect,volume_flaccid,Method,N,Source,growth_length,growth_circumf,growth_volume
"Hong Kong SAR, China",Asia,8.2,11.19,8.6,10.7,101.95,48.26,Measured,269,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.3646341463414635,1.244186046511628,2.1125155408205556
Hungary,Europe,10,14.68,9.4,11.81,162.94,70.31,Self reported,480,https://www.surveymonkey.com - 2015,1.468,1.2563829787234042,2.3174512871568766
Iceland,Europe,9.9,14.56,9.6,12.01,167.12,72.61,Self reported,590,Krause. Jan Vinzenz. 2008 Institut fur Kondom Beratung,1.4707070707070706,1.2510416666666666,2.3016113482991325
India,South Asia,8.8,12.93,9.2,11.49,135.84,59.27,Measured,301,K Promodum et al.; Penile length and circumference: an Indian study 2007,1.4693181818181817,1.248913043478261,2.29188459591699
Indonesia,Southeast Asia,8.5,11.67,9.1,11.79,129.09,56.01,Self reported,2850,Universitas Indonesia. Laporan Hasil Penelitian.,1.3729411764705883,1.2956043956043957,2.3047670058918053
Iran,South Asia,8.5,11.58,8.6,11.72,126.58,50.03,Measured,1600,Mehraban D1. Salehi M. Zayeri F. 2007,1.3623529411764705,1.3627906976744186,2.5300819508295023
Iraq,South Asia,8.3,11.35,9.1,11.33,115.94,54.7,Measured,248,Issam S. Al-Azzawi - Arab Association of Urology- 2015,1.3674698795180722,1.245054945054945,2.119561243144424
Ireland,Europe,8.7,12.78,10.1,12.69,163.77,70.62,Measured,860,NUI Galway/NUIG/UCG Ireland. 1999.,1.4689655172413794,1.2564356435643564,2.3190314358538657
Israel,Western Asia,9.3,13.6,9,11.7,148.15,59.95,Self reported,350,Study conducted with 55 Israeli men 21 -78 Sepkowitz Research. 2005,1.4623655913978493,1.2999999999999998,2.4712260216847373
Italy,Europe,8.5,12.5,9.7,12.19,147.81,63.64,Measured,3300,Ponchietti R. Mondaini N. Bonafè M. Di Loro F. Biscioni S. Masieri L. 2001,1.4705882352941178,1.256701030927835,2.322595851665619
Jamaica,Central America/Caribean,11.3,16.3,9.5,12.01,187.1,81.16,Measured,59,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.4424778761061947,1.2642105263157895,2.3053228191227206
Japan,Asia,8.6,12.6,9.2,11.5,132.6,57.92,Self reported,500,Dr. Nakajima. soldiers research. Japanese Journal of Sexology,1.4651162790697674,1.25,2.289364640883978
Jordan,Western Asia,9.2,13.5,9.2,11.89,151.88,61.97,Measured,469,Awwad Z. Abu-Hijleh M. Basri S. Shegam N. Murshidi M. Ajlouni K.,1.4673913043478262,1.2923913043478263,2.450863320961756
Kazakhstan,Central Asia,9.3,13.46,9.1,11.34,137.74,61.29,Self reported,100,https://www.surveymonkey.com - 2015,1.4473118279569892,1.2461538461538462,2.2473486702561596
Kenya,Africa,10.4,16.28,10,12.33,196.96,82.76,Self reported,258,https://www.surveymonkey.com - 2015,1.5653846153846154,1.233,2.3798936684388594
Kiribati,Pacific Islands,9.8,14.19,8.9,11.33,144.95,61.77,Measured,53,Genital size measure survey 2015,1.4479591836734693,1.2730337078651686,2.346608385947871
"Korea, North",Asia,7,9.6,9.5,11.86,107.46,50.27,Measured,800,Military General Hospital 1956  Korean Urol J. 203,1.3714285714285714,1.2484210526315789,2.1376566540680324
"Korea, Rep.",Asia,7.9,10.8,9.1,11.3,109.74,52.06,Measured,878,Journal of Urology 1998. Seoul. Korea.,1.3670886075949367,1.2417582417582418,2.107952362658471
Kuwait,Western Asia,8.3,11.38,8.8,11.47,119.14,51.15,Measured,380,Dr. A. Kandari - Al Seef Hospital 2015,1.3710843373493975,1.303409090909091,2.329227761485826
Laos,Asia,7.4,10.14,8.7,10.86,95.17,44.57,Measured,60,Genital size measure survey 2015,1.3702702702702703,1.2482758620689656,2.135292797846085
Latvia,Europe,10,14.69,9.5,11.93,166.38,71.82,Self reported,267,Krause. Jan Vinzenz. 2009 Institut fur Kondom Beratung,1.4689999999999999,1.2557894736842106,2.3166248955722644
Lebanon,Western Asia,10.7,16.82,9.6,12.39,205.47,78.47,Self reported,279,Rafik Hariri University Hospital Researchm. 2007.,1.57196261682243,1.2906250000000001,2.618452911940869
Libya,Africa,9.3,13.74,9.4,11.68,149.16,65.39,Measured,93,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.4774193548387096,1.2425531914893617,2.281082734363052
Lithuania,Europe,9.9,14.55,9,11.27,147.06,63.81,Self reported,267,Krause. Jan Vinzenz. 2009 Institut fur Kondom Beratung,1.4696969696969697,1.2522222222222221,2.304654442877292
Luxembourg,Europe,9.4,13.82,9.1,11.4,142.92,61.94,Self reported,279,Krause. Jan Vinzenz. 2009 Institut fur Kondom Beratung,1.4702127659574469,1.2527472527472527,2.3073942525024216
"Macedonia, FYR",Europe,9.5,13.98,9.6,11.97,159.4,69.67,Measured,230,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.471578947368421,1.2468750000000002,2.2879288072341035
Mexico,North America,9.6,14.09,8.9,11.18,140.15,60.51,Measured,477,Centro de andrologia - Universidad Veracruzano - Gerardo Ortiz - 2015,1.4677083333333334,1.2561797752808987,2.316146091555115
Moldova,Europe,9.4,13.76,9.3,11.64,148.36,64.7,Measured,366,Genital size measure survey 2015,1.4638297872340424,1.2516129032258063,2.2930448222565687
Mongolia,Asia,8.7,12.77,8.5,10.61,114.4,50.02,Measured,370,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.467816091954023,1.2482352941176469,2.2870851659336267
Montenegro,Europe,9.2,13.56,9.5,11.96,154.35,66.07,Measured,89,Genital size measure survey 2015,1.473913043478261,1.2589473684210528,2.3361586196458304
Morocco,Africa,9.4,13.86,10,12.41,169.86,74.8,Measured,1034,Ibn Sina University Hospital Rabat - 2015,1.474468085106383,1.241,2.270855614973262
Myanmar,Asia,7.4,10.1,8.5,10.64,90.99,42.55,Measured,158,Genital size measure survey 2015,1.3648648648648647,1.2517647058823531,2.1384253819036427
Nepal,Asia,7.3,9.98,9.5,11.87,111.9,52.43,Measured,437,"Grande International Hospital,  Health Organization/ Association 2015",1.367123287671233,1.2494736842105263,2.134274270455846
Netherlands,Europe,9.9,15.6,10.8,13.55,227.93,91.89,Measured,2363,Onderzoekscentrum i.o.v. NIBI Nederland. Utrecht 2013,1.5757575757575757,1.2546296296296295,2.4804657742953533
New Caledonia,Pacific Islands,9.2,13.24,9.3,11.81,146.95,63.32,Measured,103,Genital size measure survey 2015,1.4391304347826088,1.2698924731182795,2.320751737207833
New Zealand,Australia,10.1,15.79,10.3,13,212.35,85.27,Self reported,106,https://www.surveymonkey.com - 2015,1.5633663366336634,1.262135922330097,2.4903248504749618
Norway,Europe,9.8,14.34,10.5,13.15,197.33,85.98,Measured,800,Norwegian Social Science Data Service (NSD) 2002,1.4632653061224488,1.2523809523809524,2.295068620609444
Oman,Western Asia,8.7,12.85,8.7,11.34,131.5,52.4,Self reported,209,https://www.surveymonkey.com - 2015,1.4770114942528736,1.3034482758620691,2.5095419847328246
Pakistan,South Asia,8.3,11.4,9.4,11.74,125.03,58.36,Measured,570,Sindh Institute information 2015 Karachi Pakistan,1.3734939759036144,1.248936170212766,2.142392049348869
Palestine,Western Asia,10.3,15.08,8.5,11.02,145.73,59.22,Measured,57,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.4640776699029125,1.296470588235294,2.460824045930429
Panama,Central America/Caribean,10.7,15.49,9.2,11.69,168.45,72.07,Self reported,780,https://www.surveymonkey.com - 2015,1.4476635514018692,1.2706521739130434,2.3373109476897462
Papua New Guinea,Asia,9.9,13.62,9.1,11.36,139.87,65.24,Measured,79,Genital size measure survey 2015,1.3757575757575757,1.2483516483516484,2.1439301042305337
